,V1,V2,V3,V4,V5,V6,V7,V8
STXBP4,0,0,0,0,0,1,0,0
IFI30,0,0,0,0,0,1,0,0
NDUFB4,0,0,0,0,0,1,0,0
ZC3H12D,0,0,0,0,1,0,0,0
PHF2,0,0,0,0,1,0,0,0
APOL2,0,0,0,0,1,0,0,0
PPP1R18,0,0,0,0,1,0,0,0
LYPLA2P2,0,0,0,0,0,0,0,1
ZNF282,0,0,0,0,0,0,1,0
MIR3118.1,0,0,0,0,0,1,0,0
C1RL,0,0,0,0,1,0,0,0
SEMA4A,0,0,0,0,0,1,0,0
FLJ34503,0,0,0,0,1,0,0,0
RNU2.1,0,0,0,0,0,1,0,0
GJB7,0,0,0,0,1,0,0,0
ZZEF1,0,0,0,0,0,1,0,0
KRTAP5.5,0,0,0,0,1,0,0,0
NCOR2,0,1,0,0,0,0,0,0
SIX3.AS1,0,0,0,0,1,0,0,0
CDH1,0,0,1,0,0,0,0,0
ZNF610,0,0,0,0,1,0,0,0
MRPL51,1,0,0,0,0,0,0,0
NT5C3B,0,0,0,0,0,1,0,0
